,st_KMeans,st_HDBSCAN,st_Agglomerative,ts_KMeans,ts_HDBSCAN,ts_Agglomerative,mm_KMeans,mm_HDBSCAN,mm_Agglomerative,lf_KMeans,lf_HDBSCAN,lf_Agglomerative
1972,4,1,0,17,-1,99,2,3,4,4,0,0
1973,13,0,1,15,1,50,11,11,21,2,0,1
1974,15,1,0,3,5,95,13,12,10,16,0,0
1975,6,0,1,5,13,14,4,-1,25,7,-1,1
1976,3,0,1,1,2,4,10,4,1,5,0,1
1977,1,1,0,2,25,27,12,8,26,14,0,0
1978,10,-1,2,6,22,61,9,1,16,18,-1,2
1979,10,-1,2,12,-1,93,10,2,0,3,-1,2
1980,15,1,0,5,13,14,13,6,3,16,-1,0
1981,6,0,1,9,6,37,7,13,33,7,1,1
1982,13,0,1,11,-1,73,11,11,2,2,0,1
1983,14,0,2,0,16,45,3,8,19,0,2,2
1984,0,0,1,14,10,23,7,13,33,12,-1,1
1985,16,-1,0,9,-1,63,13,12,10,19,-1,0
1986,12,1,0,0,-1,56,13,12,10,8,0,0
1987,11,-1,1,16,21,59,4,13,24,15,-1,1
1988,1,1,0,9,4,90,2,3,4,14,-1,0
1989,5,-1,0,7,-1,32,13,12,10,6,-1,0
1990,3,0,2,7,-1,8,8,2,6,5,-1,2
1991,9,1,0,2,24,38,13,6,3,10,-1,0
1992,4,1,0,12,23,11,8,2,6,4,0,0
1993,11,0,1,11,9,2,7,-1,15,15,-1,1
1994,14,0,2,12,23,17,14,0,9,0,2,2
1995,14,0,2,11,7,85,10,2,0,0,2,2
1996,3,0,1,9,4,90,1,4,20,5,0,1
1997,14,0,2,14,15,79,3,8,38,0,2,2
1998,5,1,0,3,5,95,2,3,4,6,0,0
1999,4,1,0,20,-1,19,8,2,6,4,0,0
2000,15,1,0,7,-1,28,13,12,10,16,-1,0
2001,6,0,1,14,15,79,0,7,13,7,2,1
2002,7,-1,2,13,12,21,9,1,23,17,-1,2
2003,13,0,1,16,-1,83,11,11,2,2,0,1
2004,14,0,2,2,25,9,3,0,29,0,2,2
2005,15,1,0,6,22,49,13,12,10,16,-1,0
2006,1,-1,0,13,21,69,12,9,22,1,-1,0
2007,6,0,1,4,11,13,0,7,13,7,-1,1
2008,14,0,2,14,14,5,10,2,0,0,2,2
2009,1,1,0,15,1,50,6,10,14,14,-1,0
2010,6,0,1,16,21,54,4,14,35,7,1,1
2011,5,-1,0,8,20,97,13,12,10,6,-1,0
2012,1,1,0,16,21,59,6,2,32,4,0,0
2013,15,1,0,9,4,90,13,-1,3,16,-1,0
2014,4,1,0,20,10,88,2,3,4,13,0,0
2015,7,0,2,5,13,14,3,8,38,17,-1,2
2016,8,0,1,11,7,85,1,4,27,9,-1,1
2017,2,0,2,10,-1,46,9,1,16,11,-1,2
2018,2,0,2,0,-1,77,9,1,16,18,-1,2
2019,11,0,1,15,1,50,7,-1,37,15,-1,1
2020,1,1,0,13,12,21,2,3,4,14,-1,0
2021,6,0,1,13,12,21,7,13,33,7,-1,1
2022,0,-1,2,6,22,47,0,7,13,17,-1,1
2023,15,1,0,9,4,90,13,12,10,16,0,0
2024,4,1,0,13,26,49,8,5,11,4,0,0
2025,10,-1,2,16,21,54,14,0,9,3,-1,2
2026,0,0,1,16,-1,54,4,14,35,12,1,1
2027,12,1,0,4,11,18,6,3,4,8,-1,0
2028,2,0,2,5,13,14,9,1,18,11,2,2
2029,12,1,0,11,7,85,6,10,14,8,0,0
2030,13,0,1,3,8,57,11,11,2,2,1,1
2031,16,1,0,4,11,78,12,9,22,1,-1,0
2032,11,-1,1,17,-1,48,4,13,24,15,-1,1
2033,4,1,0,11,6,1,2,3,4,13,0,0
2034,5,1,0,1,3,53,2,3,4,6,0,0
2035,12,1,0,20,10,23,13,12,10,8,-1,0
2036,13,-1,1,1,2,4,11,11,21,2,-1,1
2037,6,0,1,20,-1,19,7,13,15,7,1,1
2038,6,0,1,1,2,4,7,13,15,7,1,1
2039,16,-1,0,1,3,4,13,12,10,19,-1,0
2040,3,0,1,4,11,96,1,4,7,5,-1,1
2041,5,1,0,16,21,54,6,10,14,19,-1,0
2042,14,0,2,4,11,78,14,0,8,0,2,2
2043,6,0,1,16,21,54,7,13,15,7,1,1
2044,3,0,1,11,7,85,1,4,20,5,0,1
2045,7,0,2,5,13,14,14,0,9,17,-1,2
2046,4,1,0,18,-1,22,8,5,11,4,-1,0
2047,13,0,1,1,2,4,11,11,2,2,0,1
2048,8,0,1,5,26,9,4,14,35,3,-1,1
2049,14,0,2,12,-1,68,3,8,19,0,2,2
2050,15,1,0,8,-1,99,13,12,10,16,-1,0
2051,10,-1,2,20,10,88,14,0,9,3,-1,2
2052,9,1,0,17,-1,36,13,6,3,1,-1,0
2053,12,1,0,0,16,45,6,10,14,8,0,0
2054,4,1,0,11,7,85,2,3,4,13,0,0
2055,6,0,1,15,1,50,7,13,15,7,-1,1
2056,14,0,2,0,16,45,10,2,0,0,-1,2
2057,3,0,1,8,20,97,1,4,7,5,0,1
2058,5,1,0,2,24,27,2,3,4,6,-1,0
2059,12,1,0,10,18,87,6,10,14,8,0,0
2060,6,0,1,19,-1,44,7,13,15,7,-1,1
2061,6,0,1,1,2,4,4,-1,37,12,-1,1
2062,15,1,0,3,5,95,13,10,10,16,0,0
2063,13,0,1,0,16,45,11,11,21,9,-1,1
2064,7,0,2,15,0,39,3,8,38,17,-1,2
2065,12,1,0,14,-1,5,6,10,14,8,0,0
2066,2,0,2,5,13,14,9,1,18,11,-1,2
2067,16,1,0,13,12,21,13,12,10,19,-1,0
2068,4,1,0,16,-1,83,8,5,11,13,0,0
2069,16,-1,0,11,9,2,13,-1,33,19,-1,0
2070,14,0,2,3,5,95,14,0,8,0,-1,2
2071,13,0,1,17,-1,36,11,11,21,2,-1,1
2072,5,1,0,13,26,10,8,2,6,6,-1,0
2073,7,0,2,16,21,30,3,8,38,17,-1,2
2074,6,0,1,3,5,95,7,13,15,7,1,1
2075,16,1,0,12,23,11,13,12,10,19,-1,0
2076,1,1,0,16,21,30,6,2,32,14,-1,0
2077,4,1,0,1,3,3,8,2,6,13,0,0
2078,3,0,1,10,-1,70,1,4,20,5,0,1
2079,9,1,0,16,21,71,12,9,22,10,-1,0
2080,16,1,0,1,-1,40,13,10,10,19,-1,0
2081,16,-1,0,16,-1,83,13,12,10,19,-1,0
2082,12,1,0,20,10,23,6,10,14,8,0,0
2083,9,1,0,2,25,9,12,9,22,1,-1,0
2084,7,0,2,10,19,26,3,0,29,17,-1,2
2085,12,1,0,5,13,14,6,10,14,8,-1,0
2086,3,0,1,8,20,97,10,4,1,5,0,1
2087,14,0,2,5,13,14,14,0,9,0,2,2
2088,0,-1,1,19,16,6,6,2,32,12,-1,1
2089,5,-1,0,4,11,31,12,8,26,1,-1,0
2090,3,0,1,8,20,97,1,4,7,5,0,1
2091,3,0,1,15,1,50,4,14,35,5,1,1
2092,4,1,0,9,4,90,2,3,4,13,0,0
2093,2,0,1,11,6,1,5,7,12,18,-1,1
2094,4,1,0,1,2,66,8,2,6,13,-1,0
2095,6,0,1,14,14,5,11,11,2,7,0,1
2096,11,0,1,11,9,2,7,13,24,15,-1,1
2097,1,1,0,11,6,1,6,2,32,14,0,0
2098,2,0,2,14,-1,12,9,1,36,11,2,2
2099,4,1,0,2,25,9,8,2,6,4,0,0
2100,7,0,2,10,-1,43,9,1,18,17,-1,2
2101,6,0,1,10,19,26,11,-1,39,7,2,1
2102,0,0,1,1,2,4,4,14,17,12,1,1
2103,8,0,1,15,1,50,1,4,7,9,0,1
2104,9,1,0,10,18,87,12,-1,22,10,-1,0
2105,1,1,0,7,-1,8,8,5,11,14,-1,0
2106,6,0,1,7,-1,51,7,-1,37,7,1,1
2107,14,0,2,12,23,91,3,8,38,0,2,2
2108,15,1,0,6,22,47,13,12,10,16,-1,0
2109,4,1,0,8,20,28,2,3,4,13,0,0
2110,1,1,0,18,-1,71,8,5,11,14,-1,0
2111,1,1,0,11,7,85,2,3,4,14,-1,0
2112,10,-1,2,17,-1,9,5,1,5,3,-1,2
2113,14,0,2,14,-1,12,6,2,32,0,2,2
2114,15,1,0,11,9,2,13,12,10,16,0,0
2115,2,0,2,13,12,21,5,1,5,11,-1,2
2116,15,1,0,17,-1,41,13,10,10,16,-1,0
2117,8,0,1,16,21,59,4,14,35,9,-1,1
2118,15,-1,0,1,2,4,13,12,10,16,-1,0
2119,7,0,2,2,25,27,5,1,28,17,-1,2
2120,8,0,1,15,-1,62,10,4,1,9,-1,1
2121,6,0,1,0,16,45,0,7,13,7,-1,1
2122,2,0,2,12,-1,16,5,1,30,11,-1,2
2123,1,1,0,2,24,38,12,9,22,1,-1,0
2124,4,1,0,3,5,95,2,3,4,13,0,0
2125,0,0,1,16,-1,83,7,13,33,12,-1,1
2126,7,-1,2,8,20,97,9,1,16,17,-1,2
2127,1,1,0,2,-1,64,6,2,32,14,-1,0
2128,8,0,1,5,-1,55,10,4,1,9,-1,1
2129,9,1,0,20,11,18,12,8,26,10,-1,0
2130,4,1,0,6,22,20,8,5,11,4,0,0
2131,14,0,2,17,11,33,14,0,8,0,2,2
2132,2,0,2,5,13,7,9,1,16,11,-1,2
2133,12,1,0,11,7,85,6,10,14,8,0,0
2134,0,0,1,16,21,59,7,13,33,12,-1,1
2135,2,0,2,12,22,98,9,1,16,18,-1,2
2136,13,0,1,3,5,95,7,-1,34,2,-1,1
2137,13,0,1,17,26,58,11,11,21,2,0,1
2138,14,0,2,13,17,72,14,0,9,0,2,2
2139,2,0,2,14,15,79,9,1,18,11,2,2
2140,3,0,1,20,-1,19,10,4,1,5,0,1
2141,15,1,0,0,16,84,13,6,3,16,0,0
2142,6,0,1,17,13,7,4,-1,25,7,-1,1
2143,10,-1,2,12,25,15,3,8,19,3,-1,2
2144,12,1,0,1,2,4,6,10,14,8,0,0
2145,13,0,1,3,8,57,11,11,21,9,0,1
2146,11,0,1,16,-1,54,4,14,35,15,-1,1
2147,6,0,1,15,1,50,7,-1,37,7,1,1
2148,14,0,2,4,11,29,14,0,9,0,2,2
2149,6,0,1,0,16,84,7,13,15,7,-1,1
2150,6,0,1,11,9,2,11,-1,39,7,1,1
2151,3,0,1,18,-1,25,10,4,1,5,-1,1
2152,14,0,2,16,24,30,5,1,5,0,-1,2
2153,5,1,0,17,-1,33,13,12,10,19,-1,0
2154,4,1,0,13,21,69,2,3,4,13,-1,0
2155,10,-1,2,13,26,10,0,7,13,18,-1,2
2156,5,1,0,6,23,17,2,3,4,6,-1,0
2157,4,1,0,12,22,98,8,2,6,4,0,0
2158,3,0,1,14,15,79,4,-1,25,5,-1,1
2159,15,1,0,15,1,50,13,12,10,16,0,0
2160,0,-1,1,1,2,4,7,13,33,12,-1,1
2161,6,0,1,6,22,61,7,13,33,7,-1,1
2162,9,-1,0,15,1,50,13,6,3,1,-1,0
2163,14,0,2,2,25,15,3,0,8,0,-1,2
2164,4,1,0,7,-1,28,8,5,11,13,-1,0
2165,4,1,0,18,17,22,8,5,11,4,0,0
2166,4,1,0,7,-1,67,2,3,4,13,-1,0
2167,7,0,2,17,26,58,14,0,8,17,-1,2
2168,12,1,0,15,0,39,13,12,10,8,-1,0
2169,14,0,2,14,14,5,5,1,28,11,2,2
2170,15,1,0,3,8,57,13,12,10,16,0,0
2171,3,0,1,1,2,4,1,4,7,5,0,1
2172,7,0,2,20,10,23,5,1,5,17,-1,2
2173,11,0,1,12,23,16,7,-1,15,15,-1,1
2174,12,1,0,8,-1,35,6,10,14,8,0,0
2175,14,0,2,15,1,50,8,2,0,0,-1,2
2176,9,1,0,0,-1,34,12,8,26,10,-1,0
2177,1,1,0,2,25,15,8,5,11,4,0,0
2178,14,0,2,14,14,5,14,0,8,0,2,2
2179,9,1,0,2,24,38,12,9,22,10,-1,0
2180,2,0,2,14,-1,12,9,1,18,11,2,2
2181,3,0,1,15,-1,80,1,4,27,5,0,1
2182,4,1,0,16,21,8,8,2,6,4,0,0
2183,3,0,1,0,-1,77,1,4,27,5,0,1
2184,14,0,1,17,13,7,6,2,32,0,2,2
2185,14,0,2,0,16,45,14,0,8,0,2,2
2186,13,0,1,6,-1,16,11,11,2,2,-1,1
2187,11,-1,1,16,21,59,7,13,24,15,-1,1
2188,2,0,2,10,-1,84,9,1,16,11,2,2
2189,6,0,1,3,8,57,7,13,33,7,1,1
2190,14,0,2,12,-1,29,14,0,29,0,-1,2
2191,0,0,1,1,2,4,7,13,34,12,-1,1
2192,5,-1,0,6,22,49,12,9,22,1,-1,0
2193,0,-1,1,15,1,50,7,13,15,12,-1,1
2194,4,1,0,0,18,34,2,3,4,13,0,0
2195,8,0,1,7,-1,67,1,4,20,9,-1,1
2196,1,1,0,5,13,14,8,5,11,14,-1,0
2197,7,0,2,14,12,21,9,1,16,17,-1,2
2198,2,0,2,13,12,21,5,1,5,11,2,2
2199,4,1,0,0,16,45,2,3,4,13,0,0
2200,12,1,0,7,-1,51,6,10,14,8,0,0
2201,1,1,0,5,-1,55,12,8,26,14,0,0
2202,2,0,2,13,12,21,9,1,18,11,2,2
2203,15,-1,0,0,18,34,13,12,10,10,-1,0
2204,3,0,1,15,1,50,1,4,20,5,0,1
2205,11,0,1,11,6,1,7,13,15,15,-1,1
2206,14,0,2,18,-1,71,6,2,32,0,-1,2
2207,14,0,1,18,-1,81,10,2,0,0,-1,1
2208,1,1,0,20,10,23,8,5,11,4,0,0
2209,3,0,1,3,5,95,1,4,7,5,0,1
2210,3,0,1,13,12,21,1,4,20,5,0,1
2211,1,1,0,11,9,2,6,2,32,14,0,0
2212,1,1,0,14,14,5,8,2,6,14,-1,0
2213,1,1,0,10,-1,43,6,2,32,4,0,0
2214,6,0,1,19,-1,44,0,7,13,7,-1,1
2215,8,0,1,20,-1,33,10,4,1,9,-1,1
2216,0,-1,2,6,22,20,6,2,32,15,-1,2
2217,9,1,0,12,25,15,12,9,22,1,-1,0
2218,1,1,0,9,4,90,8,2,6,14,-1,0
2219,3,0,1,13,12,21,1,4,20,5,-1,1
2220,3,0,2,4,11,13,10,2,0,0,-1,2
2221,13,0,1,0,16,0,11,11,21,2,0,1
2222,4,1,0,8,20,97,8,2,6,13,0,0
2223,2,0,2,20,11,18,5,1,5,11,-1,2
2224,14,0,2,10,18,87,6,2,32,0,2,2
2225,4,1,0,11,7,85,2,3,4,13,0,0
2226,9,1,0,18,-1,72,12,9,22,10,-1,0
2227,11,-1,1,1,3,53,4,13,24,15,-1,1
2228,3,0,1,11,7,85,4,-1,25,12,-1,1
2229,14,0,2,4,-1,18,14,0,8,0,2,2
2230,3,0,1,4,11,96,1,4,20,5,-1,1
2231,15,1,0,16,21,59,13,6,3,16,0,0
2232,6,0,1,15,1,50,0,6,3,7,-1,1
2233,16,1,0,17,12,36,12,9,22,1,-1,0
2234,12,1,0,1,3,3,6,10,14,8,0,0
2235,14,0,2,0,16,45,14,0,8,0,2,2
2236,1,1,0,16,21,59,13,6,3,1,-1,0
2237,3,0,1,7,-1,67,10,4,1,5,-1,1
2238,6,0,1,15,0,39,7,13,33,7,1,1
2239,16,-1,0,17,-1,48,13,6,3,1,-1,0
2240,8,-1,1,20,-1,19,4,-1,35,12,-1,1
2241,14,0,2,6,22,20,8,2,6,0,-1,2
2242,6,0,1,4,10,96,4,13,24,7,-1,1
2243,12,1,0,3,5,95,6,10,14,8,0,0
2244,3,0,1,0,-1,56,1,4,27,5,0,1
2245,12,1,0,14,15,79,13,12,10,8,0,0
2246,16,1,0,8,-1,99,13,12,10,19,-1,0
2247,4,1,0,1,3,53,2,3,4,13,0,0
2248,6,0,1,8,-1,26,7,13,24,18,-1,1
2249,16,-1,0,6,22,20,12,9,22,1,-1,0
2250,16,-1,0,13,26,10,13,12,10,19,-1,0
2251,12,1,0,20,-1,12,6,10,14,8,0,0
2252,5,1,0,5,13,7,2,3,4,6,-1,0
2253,3,0,1,1,-1,52,10,4,1,5,0,1
